Z,N,A,S,Th,mTh,E,L
54,71,125,Xe,57,1,140.5,0.012160477
52,73,125,Te,57.4,86400,109.276,1.39765E-07
52,73,125,Te,57.4,86400,144.78,1.39765E-07
47,78,125,Ag,80,0.000000001,147,8664339.757
46,79,125,Pd,144,0.000000001,108.4,4813522.087
51,74,125,Sb,277,0.000000001,146.02,2502336.392
46,80,126,Pd,0.33,0.000001,542.4,2100446.002
46,80,126,Pd,0.33,0.000001,1330.2,2100446.002
46,80,126,Pd,0.44,0.000001,86.2,1575334.501
55,71,126,Cs,1,0.000001,31,693147.1806
55,71,126,Cs,1,0.000001,55,693147.1806
50,76,126,Sn,6.1,0.000001,57.47,113630.6853
50,76,126,Sn,7.6,0.000001,76.3,91203.57639
52,74,126,Te,10.7,0.000000001,208.6,64780110.33
50,76,126,Sn,10.8,0.000000001,111.79,64180294.5
50,76,126,Sn,10.8,0.000000001,1020.41,64180294.5
51,75,126,Sb,11,1,22.7,0.06301338
53,73,126,I,11,0.000000001,122.2,63013380.05
53,73,126,I,16,0.000000001,115.2,43321698.78
53,73,126,I,20,0.000000001,56.4,34657359.03
49,77,126,In,22,0.000001,243.3,31506.69003
47,79,126,Ag,27,0.000001,254.8,25672.1178
51,75,126,Sb,60,0.000000001,644.6,11552453.01
51,75,126,Sb,78,0.000000001,23.28,8886502.315
51,75,126,Sb,78,0.000000001,87.567,8886502.315
51,75,126,Sb,90,0.000000001,121.3,7701635.34
50,76,126,Sn,126,0.000000001,180.5,5501168.1
53,73,126,I,128,0.000000001,54.6,5415212.348
53,73,126,I,128,0.000000001,111,5415212.348
55,71,126,Cs,171,0.000001,112,4053.492284
55,71,126,Cs,171,0.000001,223,4053.492284
51,75,126,Sb,553,0.000000001,21.646,1253430.706
51,75,126,Sb,553,0.000000001,64.281,1253430.706
51,75,126,Sb,553,0.000000001,86.938,1253430.706
50,77,127,Sn,0.25,0.000001,142,2772588.722
50,77,127,Sn,1.19,0.000001,104.3,582476.6223
56,71,127,Ba,1.93,1,24.2,0.359143617
56,71,127,Ba,1.93,1,80.2,0.359143617
50,77,127,Sn,4.52,0.000001,16.52,153351.1461
50,77,127,Sn,4.52,0.000001,732.04,153351.1461
49,78,127,In,9,0.000001,47,77016.3534
58,69,127,Ce,10,0.000001,29.56,69314.71806
51,76,127,Sb,11.7,0.000001,805.9,59243.34877
51,76,127,Sb,11.7,0.000001,824.7,59243.34877
51,76,127,Sb,14,0.000000001,143.3,49510512.9
51,76,127,Sb,14,0.000000001,246.9,49510512.9
48,79,127,Cd,17.5,0.000001,738.8,39608.41032
48,79,127,Cd,17.5,0.000001,848.9,39608.41032
55,72,127,Cs,24.88,0.000000001,66.06,27859613.37
54,73,127,Xe,28,0.000000001,335.9,24755256.45
54,73,127,Xe,28,0.000000001,486.6,24755256.45
54,73,127,Xe,36.7,0.000000001,45.1,18886844.16
54,73,127,Xe,36.7,0.000000001,217.48,18886844.16
46,81,127,Pd,39,0.000001,422.4,17773.00463
55,72,127,Cs,55,0.000001,179.3,12602.67601
55,72,127,Cs,55,0.000001,386.3,12602.67601
54,73,127,Xe,69.2,1,172.4,0.010016578
56,71,127,Ba,75,0.000000001,25.1,9241962.407
56,71,127,Ba,75,0.000000001,81.3,9241962.407
51,76,127,Sb,269,0.000000001,130.8,2576755.318
53,75,128,I,0.845,0.000001,4.24,820292.5214
53,75,128,I,0.845,0.000001,52.378,820292.5214
50,78,128,Sn,2.91,0.000001,79.28,238194.9074
48,80,128,Cd,3.56,0.000001,68.7,194704.2642
46,82,128,Pd,5.8,0.000001,75.1,119508.1346
48,80,128,Cd,6.3,0.001,309,110.023362
50,78,128,Sn,6.5,1,91.15,0.106638028
48,80,128,Cd,12,0.000000001,237.9,57762265.05
53,75,128,I,12.3,0.000000001,48.148,56353429.31
53,75,128,I,12.3,0.000000001,106.2486,56353429.31
53,75,128,I,12.3,0.000000001,133.6106,56353429.31
49,79,128,In,23,0.000001,247.92,30136.83394
55,73,128,Cs,50,0.000000001,158.7,13862943.61
55,73,128,Cs,50,0.000000001,301.8,13862943.61
54,74,128,Xe,78,0.000000001,204.2,8886502.315
54,74,128,Xe,78,0.000000001,274.4,8886502.315
54,74,128,Xe,78,0.000000001,286.3,8886502.315
53,75,128,I,175,0.000000001,29.512,3960841.032
50,78,128,Sn,220,0.000000001,119.7,3150669.003
52,76,128,Te,236,0.000000001,101.9,2937064.324
48,80,128,Cd,270,0.000000001,440.3,2567211.78
48,80,128,Cd,270,0.000000001,1224,2567211.78
51,77,128,Sb,500,0.000000001,152.6,1386294.361
57,72,129,La,0.56,1,104,1.237762822
55,74,129,Cs,0.718,0.000001,149.1,965386.0453
55,74,129,Cs,0.718,0.000001,366.1,965386.0453
55,74,129,Cs,0.718,0.000001,386.6,965386.0453
55,74,129,Cs,0.718,0.000001,569.2,965386.0453
55,74,129,Cs,0.718,0.000001,354.8,965386.0453
51,78,129,Sb,0.91,0.000001,98.6,761700.1984
51,78,129,Sb,2.2,0.000001,699.64,315066.9003
51,78,129,Sb,2.2,0.000001,732.48,315066.9003
50,79,129,Sn,2.22,0.000001,41,312228.4597
50,79,129,Sn,3.4,0.000001,19.7,203866.8178
48,81,129,Cd,3.6,0.001,353,192.5408835
54,75,129,Xe,8.88,86400,196.56,9.03439E-07
49,80,129,In,10.9,0.000001,333.8,63591.48446
56,73,129,Ba,15.2,0.000000001,173.6,45601788.19
53,76,129,I,16.8,0.000000001,27.81,41258760.75
52,77,129,Te,33,0.000000001,180.4,21004460.02
52,77,129,Te,33,0.000000001,251.1,21004460.02
56,73,129,Ba,47,0.000000001,126,14747812.35
56,73,129,Ba,47,0.000000001,316.3,14747812.35
56,73,129,Ba,47,0.000000001,472.8,14747812.35
58,71,129,Ce,60,0.000000001,107.7,11552453.01
55,74,129,Cs,72,0.000000001,6.545,9627044.174
50,79,129,Sn,217,0.000000001,145.3,3194226.639
48,82,130,Cd,0.248,0.000001,138,2794948.309
51,79,130,Sb,0.6,0.000001,365.2,1155245.301
57,73,130,La,0.76,0.000001,103.6,912035.7639
51,79,130,Sb,0.8,0.000001,84.7,866433.9757
51,79,130,Sb,1.25,0.000001,36.5,554517.7444
50,80,130,Sn,1.502,0.000001,96.54,461482.81
52,78,130,Te,1.9,0.000001,17.9,364814.3056
49,81,130,In,4.3,0.000001,388.4,161197.0187
56,74,130,Ba,9.4,0.001,80.3,73.73906176
56,74,130,Ba,9.4,0.001,462.3,73.73906176
56,74,130,Ba,9.4,0.001,882.3,73.73906176
57,73,130,La,33,0.000000001,82.5,21004460.02
57,73,130,La,33,0.000000001,105.1,21004460.02
50,80,130,Sn,52,0.000000001,89.23,13329753.47
50,80,130,Sn,52,0.000000001,137.96,13329753.47
52,78,130,Te,53,0.000000001,126.2,13078248.69
57,73,130,La,77,0.000000001,131.1,9001911.436
58,72,130,Ce,100,0.000000001,72.8,6931471.806
58,72,130,Ce,100,0.000000001,120.5,6931471.806
58,72,130,Ce,100,0.000000001,401,6931471.806
58,72,130,Ce,100,0.000000001,499,6931471.806
58,72,130,Ce,100,0.000000001,556.1,6931471.806
58,72,130,Ce,100,0.000000001,1129.7,6931471.806
52,78,130,Te,111,0.000000001,46,6244569.194
52,78,130,Te,111,0.000000001,330.7,6244569.194
52,78,130,Te,111,0.000000001,330.7,6244569.194
53,77,130,I,133,0.000000001,69.5862,5211632.937
53,77,130,I,254,0.000000001,85.1104,2728925.908
53,77,130,I,315,0.000000001,12.81,2200467.24
49,82,131,In,0.685,0.000001,3783.6,1011893.694
51,80,131,Sb,0.97,0.000001,96.4,714584.7222
51,80,131,Sb,4.3,0.000001,11.2,161197.0187
55,76,131,Cs,10.46,0.000000001,117.69,66266460.86
55,76,131,Cs,10.46,0.000000001,159,66266460.86
55,76,131,Cs,10.46,0.000000001,279.17,66266460.86
54,77,131,Xe,11.939,86400,163.93,6.71961E-07
54,77,131,Xe,14,0.000000001,189.1,49510512.9
54,77,131,Xe,14,0.000000001,204.5,49510512.9
56,75,131,Ba,14.26,60,79.918,0.00081013
53,78,131,I,24,0.000001,33,28881.13252
53,78,131,I,24,0.000001,122,28881.13252
53,78,131,I,25,0.000000001,702.2,27725887.22
53,78,131,I,25,0.000000001,1265.6,27725887.22
57,74,131,La,37.2,0.000000001,711.3,18632988.72
57,74,131,La,37.2,0.000000001,947.6,18632988.72
53,78,131,I,42,0.000000001,116,16503504.3
51,80,131,Sb,64,0.000001,447.4,10830.4247
51,80,131,Sb,64,0.000001,450.03,10830.4247
51,80,131,Sb,64,0.000001,1676.0,10830.4247
58,73,131,Ce,88,0.000000001,161.98,7876672.506
52,79,131,Te,93,0.001,360.3,7.45319549
57,74,131,La,170,0.000001,108.9,4077.336356
50,81,131,Sn,316,0.000000001,158.8,2193503.736
50,82,132,Sn,2.08,0.000001,132.5,333243.8368
59,73,132,Pr,2.46,0.000001,101.9,281767.1466
52,80,132,Te,3.62,0.000001,22,191477.1217
52,80,132,Te,3.62,0.000001,798,191477.1217
54,78,132,Xe,8.37,0.001,538.2,82.81328322
58,74,132,Ce,9.4,0.001,11.6,73.73906176
58,74,132,Ce,9.4,0.001,526.8,73.73906176
58,74,132,Ce,9.4,0.001,798.5,73.73906176
51,81,132,Sb,15.62,0.000000001,85.58,44375619.75
50,82,132,Sn,20.1,0.000000001,299.6,34484934.36
52,80,132,Te,28.5,0.000001,150.672,24320.9537
54,78,132,Xe,87,0.000000001,173.7,7967208.972
51,81,132,Sb,102,0.000000001,91.7,6795560.594
52,80,132,Te,135,0.000000001,103.519,5134423.56
59,73,132,Pr,486,0.000000001,53.1,1426228.767
59,74,133,Pr,1.1,1,130.4,0.630133801
54,79,133,Xe,2.212,86400,233.221,3.62682E-06
54,79,133,Xe,8.64,0.001,231,80.22536812
53,80,133,I,9,1,74.05,0.077016353
60,73,133,Nd,46,0.000000001,62.3,15068416.97
60,73,133,Nd,46,0.000000001,180.6,15068416.97
57,76,133,La,62,0.000000001,58.39,11179793.23
57,76,133,La,62,0.000000001,404.78,11179793.23
57,76,133,La,62,0.000000001,535,11179793.23
52,81,133,Te,100,0.000000001,125.5,6931471.806
53,80,133,I,170,0.000000001,94.989,4077336.356
53,80,133,I,170,0.000000001,169.025,4077336.356
60,73,133,Nd,291,0.000000001,176.1,2381949.074
53,80,133,I,474,0.000000001,58.7,1462335.824
60,74,134,Nd,0.39,0.001,166.5,1777.300463
60,74,134,Nd,0.39,0.001,595.5,1777.300463
60,74,134,Nd,0.39,0.001,873.1,1777.300463
56,78,134,Ba,2.61,0.000001,121.3,265573.6324
55,79,134,Cs,2.912,3600,127.5021,6.61198E-05
55,79,134,Cs,2.912,3600,138.733,6.61198E-05
54,80,134,Xe,5,0.000001,28,138629.4361
55,79,134,Cs,12.3,0.000000001,63.49,56353429.31
55,79,134,Cs,12.3,0.000000001,118.367,56353429.31
55,79,134,Cs,12.3,0.000000001,245.861,56353429.31
52,82,134,Te,17.1,0.000000001,182.6,40534922.84
61,73,134,Pm,20,0.000001,70.7,34657.35903
55,79,134,Cs,46.6,0.000000001,11.242,14874403.02
55,79,134,Cs,49.7,0.000000001,116.3755,13946623.35
55,79,134,Cs,49.7,0.000000001,176.4047,13946623.35
56,78,134,Ba,50,0.000000001,16,13862943.61
56,78,134,Ba,50,0.000000001,585.5,13862943.61
56,78,134,Ba,50,0.000000001,1382,13862943.61
50,84,134,Sn,81.7,0.000000001,174.1,8484053.618
52,82,134,Te,164.8,0.000000001,115.2,4205990.173
54,80,134,Xe,290,0.001,234.3,2.390162692
58,76,134,Ce,308,0.000000001,190.8,2250477.859
58,76,134,Ce,308,0.000000001,397.4,2250477.859
52,83,135,Te,0.511,0.000001,50,1356452.408
56,79,135,Ba,1.06,0.001,254,653.9124345
58,77,135,Ce,20,1,149.7,0.034657359
51,84,135,Sb,20,0.000000001,225.1,34657359.03
62,73,135,Sm,21,0.000000001,100,33007008.6
57,78,135,La,25.3,0.000000001,470.6,27397121.76
56,79,135,Ba,28.7,3600,268.218,6.70874E-06
55,80,135,Cs,53,60,846.1,0.000217971
59,76,135,Pr,105,0.000001,112.6,6601.40172
59,76,135,Pr,105,0.000001,316.6,6601.40172
56,80,136,Ba,0.3075,1,163.92,2.254137173
61,75,136,Pm,1.5,0.000001,42.7,462098.1204
58,78,136,Ce,2,0.000001,105.7,346573.5903
54,82,136,Xe,2.92,0.000001,197.316,237379.1714
62,74,136,Sm,5,0.000001,465.9,138629.4361
57,79,136,La,17,0.000000001,98,40773363.56
57,79,136,La,17,0.000000001,130.2,40773363.56
57,79,136,La,17,0.000000001,248.4,40773363.56
50,86,136,Sn,46,0.000000001,216,15068416.97
59,77,136,Pr,91,0.000000001,46.8,7617001.984
56,80,136,Ba,91,0.000000001,363,7617001.984
59,77,136,Pr,91,0.000000001,420.1,7617001.984
57,79,136,La,114,0.001,87.5,6.080238426
57,79,136,La,187,0.000000001,149,3706669.415
57,79,136,La,187,0.000000001,408.1,3706669.415
51,85,136,Sb,536,0.000000001,53.4,1293185.038
60,77,137,Nd,1.6,1,233.5,0.433216988
56,81,137,Ba,2.5223,60,378,0.004580126
56,81,137,Ba,2.5223,60,661.657,0.004580126
59,78,137,Pr,2.66,0.000001,331.3,260581.6468
59,78,137,Pr,2.66,0.000001,563.4,260581.6468
54,83,137,Xe,10.1,0.000000001,314.1,68628433.72
57,80,137,La,89,0.000000001,10.61,7788170.568
57,80,137,La,342,0.000000001,83.2,2026746.142
56,81,137,Ba,589,0.000000001,120.2,1176820.341
56,82,138,Ba,0.85,0.000001,191.95,815467.2712
53,85,138,I,1.07,0.000001,67.9,647801.1033
57,81,138,La,2,0.000001,738.8,346573.5903
64,74,138,Gd,6.2,0.000001,583.2,111797.9323
58,80,138,Ce,8.73,0.001,302.8,79.39830247
61,77,138,Pm,21,0.000000001,173.6,33007008.6
58,80,138,Ce,81,0.000000001,31.9,8557372.6
58,80,138,Ce,81,0.000000001,109,8557372.6
58,80,138,Ce,81,0.000000001,430.2,8557372.6
58,80,138,Ce,81,0.000000001,1409.9,8557372.6
57,81,138,La,116,0.000000001,72.57,5975406.729
60,78,138,Nd,370,0.000000001,66.6,1873370.758
63,76,139,Eu,10,0.000001,26.7,69314.71806
59,80,139,Pr,43.4,0.000000001,708.06,15971133.19
59,80,139,Pr,43.4,0.000000001,821.9,15971133.19
58,81,139,Ce,57.58,1,754.24,0.012037985
58,81,139,Ce,70,0.000000001,270.7,9902102.579
61,78,139,Pm,180,0.001,188.7,3.85081767
57,82,139,La,315,0.000000001,88.7,2200467.24
59,81,140,Pr,0.35,0.000001,98.5,1980420.516
60,80,140,Nd,0.6,0.001,419.81,1155.245301
60,80,140,Nd,1.22,0.000001,36.8,568153.4267
60,80,140,Nd,1.22,0.000001,227.5,568153.4267
60,80,140,Nd,1.22,0.000001,1028,568153.4267
59,81,140,Pr,3.05,0.000001,635.9,227261.3707
66,74,140,Dy,7,0.000001,573.8,99021.02579
58,82,140,Ce,7.3,0.000001,24.595,94951.66857
62,78,140,Sm,15.2,0.000000001,441.9,45601788.19
62,78,140,Sm,19.4,0.000000001,44,35729236.11
62,78,140,Sm,19.4,0.000000001,202.6,35729236.11
60,80,140,Nd,22.4,0.000000001,166.57,30944070.56
58,82,140,Ce,23.1,0.000000001,202,30006371.45
58,82,140,Ce,23.1,0.000000001,222,30006371.45
63,77,140,Eu,299.8,0.000000001,37.1,2312031.957
63,77,140,Eu,299.8,0.000000001,98.1,2312031.957
55,85,140,Cs,471,0.000000001,13.93,1471650.065
61,80,141,Pm,0.63,0.000001,431.6,1100233.62
61,80,141,Pm,0.63,0.000001,628.6,1100233.62
61,80,141,Pm,2,0.000001,44,346573.5903
61,80,141,Pm,2,0.000001,639,346573.5903
61,80,141,Pm,2,0.000001,1020.3,346573.5903
55,86,141,Cs,23.3,0.000000001,69.05,29748806.03
61,80,141,Pm,54,0.000000001,110.5,12836058.9
57,85,142,La,0.87,0.000001,68.3,796720.8972
61,81,142,Pm,2,0.001,433.7,346.5735903
55,87,142,Cs,11,0.000000001,26.4,63013380.05
55,87,142,Cs,11,0.000000001,97.3,63013380.05
61,81,142,Pm,16.5,0.000000001,37.5,42008920.03
61,81,142,Pm,16.5,0.000000001,208.5,42008920.03
60,82,142,Nd,18.6,0.000001,108.52,37265.97745
65,77,142,Tb,26,0.000001,37.2,26659.50694
65,77,142,Tb,26,0.000001,340.1,26659.50694
60,82,142,Nd,28,0.000000001,16.9,24755256.45
60,82,142,Nd,28,0.000000001,525.009,24755256.45
59,83,142,Pr,61,0.000000001,553,11363068.53
61,81,142,Pm,67,0.000001,638.6,10345.48031
61,81,142,Pm,67,0.000001,1019.4,10345.48031
62,80,142,Sm,142.1,0.000000001,24.1,4877883.044
62,80,142,Sm,142.1,0.000000001,580.7,4877883.044
65,77,142,Tb,303,0.001,68.2,2.287614457
65,77,142,Tb,303,0.001,98.3,2.287614457
62,80,142,Sm,480,0.000000001,275.1,1444056.626
62,80,142,Sm,480,0.000000001,336,1444056.626
62,80,142,Sm,480,0.000000001,1290.3,1444056.626
66,77,143,Dy,1.2,0.000001,86,577622.6505
66,77,143,Dy,1.2,0.000001,95,577622.6505
61,82,143,Pm,10.5,0.000000001,234.9,66014017.2
61,82,143,Pm,24,0.000000001,687.7,28881132.52
61,82,143,Pm,24,0.000000001,959.8,28881132.52
62,81,143,Sm,30,0.001,208,23.10490602
60,83,143,Nd,35,0.000000001,300.6,19804205.16
60,83,143,Nd,35,0.000000001,338.6,19804205.16
63,80,143,Eu,50,0.000001,117.57,13862.94361
63,80,143,Eu,50,0.000001,389.47,13862.94361
65,79,144,Tb,0.67,0.000001,40.8,1034548.031
61,83,144,Pm,0.78,0.000001,326.55,888650.2315
61,83,144,Pm,0.78,0.000001,608.7,888650.2315
61,83,144,Pm,0.78,0.000001,669.15,888650.2315
63,81,144,Eu,1,0.000001,7.5,693147.1806
63,81,144,Eu,1,0.000001,201.6,693147.1806
55,89,144,Cs,1.1,0.000001,49.4,630133.8005
61,83,144,Pm,2.7,0.000001,85.5,256721.178
65,79,144,Tb,2.8,0.000001,79.3,247552.5645
64,80,144,Gd,13,0.000000001,169,53319013.89
63,81,144,Eu,27.8,0.000000001,38.7,24933351.82
63,81,144,Eu,27.8,0.000000001,163.1,24933351.82
64,80,144,Gd,145,0.000000001,87.4,4780325.383
64,80,144,Gd,145,0.000000001,415.2,4780325.383
67,77,144,Ho,519,0.000000001,56.4,1335543.701
62,82,144,Sm,880,0.000000001,132.6,787667.2506
62,83,145,Sm,3.52,0.000001,743,196916.8127
62,83,145,Sm,3.52,0.000001,236,196916.8127
62,83,145,Sm,3.52,0.000001,30.2,196916.8127
64,81,145,Gd,11.5,0.000000001,27.3,60273667.87
58,87,145,Ce,13,0.000000001,64.3,53319013.89
62,83,145,Sm,13.1,0.000000001,1105,52911998.52
61,84,145,Pm,17.1,0.000000001,44.2,40534922.84
61,84,145,Pm,17.1,0.000000001,80.7,40534922.84
61,84,145,Pm,17.1,0.000000001,733.4,40534922.84
61,84,145,Pm,17.1,0.000000001,794.6,40534922.84
64,81,145,Gd,20.4,0.000000001,927.2,33977802.97
64,81,145,Gd,20.4,0.000000001,1451.3,33977802.97
60,85,145,Nd,29.4,0.000000001,67.1,23576434.71
63,82,145,Eu,490,0.000000001,386.6,1414586.083
63,82,145,Eu,490,0.000000001,716,1414586.083
65,81,146,Tb,1.2,0.001,417.7,577.6226505
63,83,146,Eu,10,0.000000001,204,69314718.06
57,89,146,La,14,0.000000001,148.3,49510512.9
57,89,146,La,14,0.000000001,43.0,49510512.9
66,80,146,Dy,150,0.001,127,4.620981204
66,80,146,Dy,150,0.001,416.5,4.620981204
63,83,146,Eu,235,0.000001,18.8,2949.56247
63,83,146,Eu,235,0.000001,293.72,2949.56247
63,83,146,Eu,235,0.000001,377,2949.56247
66,81,147,Dy,0.4,0.000001,81.9,1732867.951
63,84,147,Eu,0.765,0.000001,396,906074.7458
63,84,147,Eu,0.765,0.000001,625.18,906074.7458
59,88,147,Pr,12,0.000000001,65.21,57762265.05
59,88,147,Pr,12,0.000000001,90.44,57762265.05
59,88,147,Pr,12,0.000000001,93.17,57762265.05
66,81,147,Dy,16,0.000000001,92.3,43321698.78
66,81,147,Dy,16,0.000000001,243.4,43321698.78
64,83,147,Gd,21.4,0.000000001,997.1,32390055.17
64,83,147,Gd,26.8,0.000000001,182.9,25863700.77
64,83,147,Gd,26.8,0.000000001,543.7,25863700.77
64,83,147,Gd,26.8,0.000000001,821.3,25863700.77
61,86,147,Pm,27,0.000000001,117.98,25672117.8
61,86,147,Pm,27,0.000000001,159.7,25672117.8
61,86,147,Pm,27,0.000000001,241.2,25672117.8
61,86,147,Pm,27,0.000000001,649.04,25672117.8
67,80,147,Ho,315,0.000000001,32.3,2200467.24
64,83,147,Gd,510,0.000000001,254.4,1359112.119
64,83,147,Gd,510,0.000000001,434.5,1359112.119
64,83,147,Gd,510,0.000000001,593.7,1359112.119
64,83,147,Gd,510,0.000000001,623.8,1359112.119
65,83,148,Tb,1.31,0.000001,280.6,529119.9852
65,83,148,Tb,1.31,0.000001,784.8,529119.9852
65,83,148,Tb,1.31,0.000001,857.7,529119.9852
67,81,148,Ho,2.36,0.001,373.1,293.7064324
68,80,148,Er,13,0.000001,131.2,53319.01389
64,84,148,Gd,16.6,0.000000001,130.8,41755854.25
64,84,148,Gd,16.6,0.000000001,883.6,41755854.25
65,83,148,Tb,22,0.000000001,690.2,31506690.03
65,83,148,Tb,22,0.000000001,1006.2,31506690.03
62,86,148,Sm,32,0.000000001,101.5,21660849.39
62,86,148,Sm,32,0.000000001,217.3,21660849.39
62,86,148,Sm,32,0.000000001,302,21660849.39
66,82,148,Dy,65,0.000000001,94.1,10663802.78
66,82,148,Dy,65,0.000000001,101.2,10663802.78
57,91,148,La,67,0.000000001,56.08,10345480.31
65,83,148,Tb,80,0.000000001,109.6,8664339.757
63,85,148,Eu,162,0.000000001,201.9,4278686.3
66,82,148,Dy,471,0.000000001,86.9,1471650.065
68,81,149,Er,0.61,0.000001,68.9,1136306.853
68,81,149,Er,0.61,0.000001,132.3,1136306.853
63,86,149,Eu,2.45,0.000001,346.651,282917.2166
63,86,149,Eu,2.45,0.000001,496.383,282917.2166
68,81,149,Er,4.8,0.000001,55.1,144405.6626
66,83,149,Dy,12.5,0.000000001,1073.2,55451774.44
59,90,149,Pr,23.4,0.000000001,58.5,29621674.38
66,83,149,Dy,28,0.000000001,249,24755256.45
66,83,149,Dy,28,0.000000001,475,24755256.45
61,88,149,Pm,35,0.000001,240.22,19804.20516
67,82,149,Ho,59,0.000000001,144,11748257.3
68,82,150,Er,2.55,0.000001,63.2,271822.4237
69,81,150,Tm,5.2,0.001,331.2,133.2975347
68,82,150,Er,15,0.000000001,39.4,46209812.04
68,82,150,Er,15,0.000000001,219,46209812.04
68,82,150,Er,15,0.000000001,1013.1,46209812.04
67,83,150,Ho,18,0.000000001,879.4,38508176.7
67,83,150,Ho,18,0.000000001,1096,38508176.7
68,82,150,Er,20,0.000000001,100.52,34657359.03
68,82,150,Er,20,0.000000001,112.6,34657359.03
68,82,150,Er,43,0.000000001,360.1,16119701.87
63,87,150,Eu,45,0.000000001,26.8,15403270.68
63,87,150,Eu,45,0.000000001,171.5,15403270.68
67,83,150,Ho,84,0.000000001,98.2,8251752.15
67,83,150,Ho,787,0.000000001,776,880746.0998
68,83,151,Er,0.42,0.000001,894.6,1650350.43
69,82,151,Tm,0.451,0.000001,140.4,1536911.709
62,89,151,Sm,1.4,0.000001,85.7,495105.129
62,89,151,Sm,1.4,0.000001,113.21,495105.129
62,89,151,Sm,1.4,0.000001,169.57,495105.129
62,89,151,Sm,1.4,0.000001,195.26,495105.129
68,83,151,Er,10,0.000000001,338.5,69314718.06
68,83,151,Er,10,0.000000001,1140.2,69314718.06
66,85,151,Dy,11.9,0.000000001,25,58247662.23
70,81,151,Yb,20,0.000001,57,34657.35903
59,92,151,Pr,20,0.000000001,96,34657359.03
69,82,151,Tm,24,0.000000001,1050.2,28881132.52
62,89,151,Sm,35,0.000000001,4.821,19804205.16
59,92,151,Pr,50,0.000001,35.1,13862.94361
63,88,151,Eu,58.9,0.000001,174.7,11768.20341
63,88,151,Eu,58.9,0.000001,196,11768.20341
62,89,151,Sm,78,0.000000001,25.71,8886502.315
63,89,152,Eu,0.94,0.000001,19.695,737390.6176
63,89,152,Eu,0.94,0.000001,65.2965,737390.6176
65,87,152,Tb,0.96,0.000001,58.9,722028.3131
65,87,152,Tb,0.96,0.000001,65,722028.3131
65,87,152,Tb,0.96,0.000001,106.6,722028.3131
59,93,152,Pr,4.2,0.000001,17,165035.043
59,93,152,Pr,4.2,0.000001,115.1,165035.043
67,85,152,Ho,8.4,0.000001,734.1,82517.5215
68,84,152,Er,11,0.000000001,357.9,63013380.05
68,84,152,Er,11,0.000000001,1265.5,63013380.05
70,82,152,Yb,30,0.000001,54.6,23104.90602
68,84,152,Er,35,0.000000001,848.3,19804205.16
68,84,152,Er,35,0.000000001,1021,19804205.16
68,84,152,Er,35,0.000000001,1051.9,19804205.16
68,84,152,Er,35,0.000000001,1184.1,19804205.16
63,89,152,Eu,38,0.000000001,77.2583,18240715.28
67,85,152,Ho,47,0.000000001,105.5,14747812.35
66,86,152,Dy,60,0.000000001,53.3,11552453.01
63,89,152,Eu,95.8,60,39.75,0.000120589
63,89,152,Eu,165,0.000000001,12.965,4200892.003
63,89,152,Eu,165,0.000000001,32.6341,4200892.003
69,83,152,Tm,301,0.000000001,103.5,2302814.553
63,89,152,Eu,384,0.000000001,12.598,1805070.783
63,89,152,Eu,384,0.000000001,89.8492,1805070.783
71,82,153,Lu,0.1,0.000001,21,6931471.806
71,82,153,Lu,0.1,0.000001,291,6931471.806
71,82,153,Lu,0.1,0.000001,355.4,6931471.806
60,93,153,Nd,1.1,0.000001,55.61,630133.8005
60,93,153,Nd,1.1,0.000001,71.5,630133.8005
60,93,153,Nd,1.1,0.000001,92.03,630133.8005
60,93,153,Nd,1.1,0.000001,129.36,630133.8005
60,93,153,Nd,1.1,0.000001,141.8,630133.8005
60,93,153,Nd,1.1,0.000001,147.06,630133.8005
60,93,153,Nd,1.1,0.000001,175.37,630133.8005
60,93,153,Nd,1.1,0.000001,182.9,630133.8005
60,93,153,Nd,1.1,0.000001,191.7,630133.8005
64,89,153,Gd,3.5,0.000001,53.6,198042.0516
68,85,153,Er,10,0.000000001,83.9,69314718.06
68,85,153,Er,10,0.000000001,194.5,69314718.06
68,85,153,Er,10,0.000000001,287.8,69314718.06
68,85,153,Er,10,0.000000001,946.7,69314718.06
62,91,153,Sm,10.6,0.001,32.9,65.39124345
71,82,153,Lu,15,0.000001,130.4,46209.81204
64,89,153,Gd,76,0.000001,2.8,9120.357639
64,89,153,Gd,76,0.000001,76.015,9120.357639
64,89,153,Gd,76,0.000001,77.9,9120.357639
65,88,153,Tb,186,0.000001,82.464,3726.597745
67,86,153,Ho,229,0.000000001,36,3026843.583
67,86,153,Ho,229,0.000000001,475,3026843.583
68,85,153,Er,248,0.000000001,356.3,2794948.309
68,85,153,Er,248,0.000000001,403.7,2794948.309
68,85,153,Er,248,0.000000001,428.7,2794948.309
63,90,153,Eu,475,0.000000001,477,1459257.222
63,90,153,Eu,475,0.000000001,709.4,1459257.222
63,90,153,Eu,475,0.000000001,919.4,1459257.222
63,91,154,Eu,2.2,0.000001,68.1711,315066.9003
60,94,154,Nd,3.2,0.000001,134.8,216608.4939
60,94,154,Nd,3.2,0.000001,169.8,216608.4939
60,94,154,Nd,3.2,0.000001,270.3,216608.4939
60,94,154,Nd,3.2,0.000001,295.3,216608.4939
70,84,154,Yb,18.6,0.000000001,160.3,37265977.45
63,91,154,Eu,20,0.000000001,10.905,34657359.03
